Year;Site;Var;PlantNb;Observation_Date;EmergenceNb
2017;Godet;StVincent;20;10/05/2017;0
2017;Godet;Kinabayo;20;10/05/2017;0
2017;Godet;INRA15;20;10/05/2017;0
2017;Godet;Florido;20;10/05/2017;0
2017;Godet;ToufiTetea;20;10/05/2017;0
2017;Godet;Pacala;20;10/05/2017;0
2017;Godet;Pyramide;20;10/05/2017;0
2017;Godet;Boutou;20;10/05/2017;0
2017;Godet;Goana;20;10/05/2017;0
2017;Godet;Plimbite;20;10/05/2017;0
2017;Godet;Oriental;20;10/05/2017;0
2017;Godet;Belep;20;10/05/2017;0
2017;Godet;GrosseCaille;10;10/05/2017;0
2017;Godet;StVincent;20;16/05/2017;0
2017;Godet;Kinabayo;20;16/05/2017;0
2017;Godet;INRA15;20;16/05/2017;0
2017;Godet;Florido;20;16/05/2017;1
2017;Godet;ToufiTetea;20;16/05/2017;1
2017;Godet;Pacala;20;16/05/2017;0
2017;Godet;Pyramide;20;16/05/2017;1
2017;Godet;Boutou;20;16/05/2017;0
2017;Godet;Goana;20;16/05/2017;0
2017;Godet;Plimbite;20;16/05/2017;0
2017;Godet;Oriental;20;16/05/2017;0
2017;Godet;Belep;20;16/05/2017;1
2017;Godet;GrosseCaille;10;16/05/2017;0
2017;Godet;StVincent;20;23/05/2017;0
2017;Godet;Kinabayo;20;23/05/2017;1
2017;Godet;INRA15;20;23/05/2017;2
2017;Godet;Florido;20;23/05/2017;3
2017;Godet;ToufiTetea;20;23/05/2017;5
2017;Godet;Pacala;20;23/05/2017;0
2017;Godet;Pyramide;20;23/05/2017;1
2017;Godet;Boutou;20;23/05/2017;3
2017;Godet;Goana;20;23/05/2017;6
2017;Godet;Plimbite;20;23/05/2017;1
2017;Godet;Oriental;20;23/05/2017;0
2017;Godet;Belep;20;23/05/2017;4
2017;Godet;GrosseCaille;10;23/05/2017;0
2017;Godet;StVincent;20;30/05/2017;7
2017;Godet;Kinabayo;20;30/05/2017;5
2017;Godet;INRA15;20;30/05/2017;4
2017;Godet;Florido;20;30/05/2017;7
2017;Godet;ToufiTetea;20;30/05/2017;15
2017;Godet;Pacala;20;30/05/2017;2
2017;Godet;Pyramide;20;30/05/2017;6
2017;Godet;Boutou;20;30/05/2017;6
2017;Godet;Goana;20;30/05/2017;17
2017;Godet;Plimbite;20;30/05/2017;2
2017;Godet;Oriental;20;30/05/2017;0
2017;Godet;Belep;20;30/05/2017;14
2017;Godet;GrosseCaille;10;30/05/2017;3
2017;Godet;StVincent;20;06/06/2017;16
2017;Godet;Kinabayo;20;06/06/2017;9
2017;Godet;INRA15;20;06/06/2017;6
2017;Godet;Florido;20;06/06/2017;17
2017;Godet;ToufiTetea;20;06/06/2017;17
2017;Godet;Pacala;20;06/06/2017;7
2017;Godet;Pyramide;20;06/06/2017;15
2017;Godet;Boutou;20;06/06/2017;11
2017;Godet;Goana;20;06/06/2017;19
2017;Godet;Plimbite;20;06/06/2017;2
2017;Godet;Oriental;20;06/06/2017;11
2017;Godet;Belep;20;06/06/2017;17
2017;Godet;GrosseCaille;10;06/06/2017;4
2017;Godet;StVincent;20;13/06/2017;17
2017;Godet;Kinabayo;20;13/06/2017;13
2017;Godet;INRA15;20;13/06/2017;12
2017;Godet;Florido;20;13/06/2017;19
2017;Godet;ToufiTetea;20;13/06/2017;19
2017;Godet;Pacala;20;13/06/2017;10
2017;Godet;Pyramide;20;13/06/2017;19
2017;Godet;Boutou;20;13/06/2017;18
2017;Godet;Goana;20;13/06/2017;20
2017;Godet;Plimbite;20;13/06/2017;4
2017;Godet;Oriental;20;13/06/2017;12
2017;Godet;Belep;20;13/06/2017;18
2017;Godet;GrosseCaille;10;13/06/2017;5
2017;Godet;StVincent;20;26/06/2017;19
2017;Godet;Kinabayo;20;26/06/2017;18
2017;Godet;INRA15;20;26/06/2017;19
2017;Godet;Florido;20;26/06/2017;20
2017;Godet;ToufiTetea;20;26/06/2017;20
2017;Godet;Pacala;20;26/06/2017;17
2017;Godet;Pyramide;20;26/06/2017;18
2017;Godet;Boutou;20;26/06/2017;20
2017;Godet;Goana;20;26/06/2017;20
2017;Godet;Plimbite;20;26/06/2017;14
2017;Godet;Oriental;20;26/06/2017;15
2017;Godet;Belep;20;26/06/2017;19
2017;Godet;GrosseCaille;10;26/06/2017;6
2017;Godet;StVincent;20;07/07/2017;20
2017;Godet;Kinabayo;20;07/07/2017;19
2017;Godet;INRA15;20;07/07/2017;20
2017;Godet;Florido;20;07/07/2017;20
2017;Godet;ToufiTetea;20;07/07/2017;20
2017;Godet;Pacala;20;07/07/2017;20
2017;Godet;Pyramide;20;07/07/2017;20
2017;Godet;Boutou;20;07/07/2017;20
2017;Godet;Goana;20;07/07/2017;20
2017;Godet;Plimbite;20;07/07/2017;16
2017;Godet;Oriental;20;07/07/2017;16
2017;Godet;Belep;20;07/07/2017;19
2017;Godet;GrosseCaille;10;07/07/2017;8
2017;Godet;StVincent;20;19/07/2017;20
2017;Godet;Kinabayo;20;19/07/2017;20
2017;Godet;INRA15;20;19/07/2017;20
2017;Godet;Florido;20;19/07/2017;20
2017;Godet;ToufiTetea;20;19/07/2017;20
2017;Godet;Pacala;20;19/07/2017;20
2017;Godet;Pyramide;20;19/07/2017;20
2017;Godet;Boutou;20;19/07/2017;20
2017;Godet;Goana;20;19/07/2017;20
2017;Godet;Plimbite;20;19/07/2017;18
2017;Godet;Oriental;20;19/07/2017;16
2017;Godet;Belep;20;19/07/2017;19
2017;Godet;GrosseCaille;10;19/07/2017;8
2017;Godet;StVincent;20;26/07/2017;20
2017;Godet;Kinabayo;20;26/07/2017;20
2017;Godet;INRA15;20;26/07/2017;20
2017;Godet;Florido;20;26/07/2017;20
2017;Godet;ToufiTetea;20;26/07/2017;20
2017;Godet;Pacala;20;26/07/2017;20
2017;Godet;Pyramide;20;26/07/2017;20
2017;Godet;Boutou;20;26/07/2017;20
2017;Godet;Goana;20;26/07/2017;20
2017;Godet;Plimbite;20;26/07/2017;18
2017;Godet;Oriental;20;26/07/2017;17
2017;Godet;Belep;20;26/07/2017;19
2017;Godet;GrosseCaille;10;26/07/2017;8
